arm,subject,sessions,windows,kept_windows,keep_frac,calib_ratio_median,weak_ch_lt15_mean,low_conf_frac_mean,neutral_buffer_frac_mean,ch_rms_cv_mean,dq_outlier_score_mean,dq_outlier_score_max
left arm,Matthew,10,36551,24599,0.6730052394777747,5.216453552246094,0.8,0.22858418522025453,0.11136228069486687,0.4909801185131073,1.605441304038901,2.0070681480324892
left arm,subject08,7,25210,17218,0.6829830659784736,3.975767135620117,0.5714285714285714,0.21705658792668014,0.11131471381140219,0.7263519167900085,-0.14568906785139504,0.053623084150349186
left arm,subject12,6,21762,14760,0.6784134144699716,2.557006597518921,1.5,0.22226220020944465,0.11134807618455184,0.8444921573003134,0.46384129089796144,2.7502602759253247
right arm,Matthew,22,80368,53829,0.669593995831191,8.227312088012695,0.7727272727272727,0.19805512271788342,0.14893475023233974,0.7016537162390623,-0.15902585358930546,0.9201125581442992
right arm,subject02,7,25436,16643,0.6543110065084654,3.1306512355804443,0.7142857142857143,0.24976203008279615,0.11137203449015187,1.0797971316746302,1.0020265624904723,1.2188249348513083
right arm,subject03,6,21759,14268,0.6557292408292121,3.4724138975143433,1.6666666666666667,0.24831043831957408,0.1114361667867874,0.3494738886753718,0.3611309991292213,0.714294728204135
right arm,subject04,5,18127,11888,0.6558175834887828,2.7119107246398926,4.0,0.2480824991525811,0.11140663537383204,0.806096887588501,0.6263589538169241,1.0055644890250919
right arm,subject05,4,14505,9513,0.6558433757948708,1883.014892578125,0.0,0.2480517415568222,0.11139709645552372,0.5965673476457596,-0.2732972077385727,-0.03369047763968169
right arm,subject06,8,28999,19024,0.6560233374434631,1523.0436401367188,1.375,0.24776622139202203,0.11140874296046455,0.4533027857542038,-0.025460562784650358,0.7357425267334562
right arm,subject07,8,29117,19680,0.67589396332718,3.962707996368408,1.375,0.2249886890247247,0.11133121857945721,0.4860805757343769,-0.167015944201727,0.07717288181251515
right arm,subject08,7,25277,17221,0.6813167317712308,4.107782363891602,2.2857142857142856,0.21898408330479519,0.1113062533444767,0.599652852330889,-0.1451934530184627,0.07904660331228143
right arm,subject09,6,21896,14758,0.6740049138539876,3.065608501434326,0.0,0.22716425453333708,0.11137544018070884,0.4960513710975647,0.1026660765966562,0.2536234651441018
right arm,subject10,8,28902,19680,0.6809403634386174,10.24150037765503,2.75,0.21940982727768243,0.11134643901338684,0.9625601656734943,-0.09333086967193134,0.15062387209497488
right arm,subject11,7,25316,17221,0.6802726952379398,7.134714603424072,0.0,0.22014186037420996,0.11132673210947229,0.5643273081098285,-0.23169965611789714,0.22991941409632968
right arm,subject12,7,25314,17220,0.6802831620992688,4.498898506164551,0.14285714285714285,0.2200850396501323,0.11127480281182496,0.6342710341726031,-0.15972059273939052,-0.022433518594292375
