arm,subject,mean_gesture_z,max_gesture_z,median_gesture_z,sessions
left arm,subject12,2.9311201669689684,34.116214752197266,0.5512801110744476,6
left arm,subject08,0.30707206736163545,4.108728408813477,0.019015703233890235,7
left arm,Matthew,0.10336157727676133,7.0020365715026855,-0.41451725363731384,10
right arm,subject10,6.515762273222208,32.35681915283203,2.7030227184295654,8
right arm,subject07,4.175731272126238,11.50321102142334,3.8842023611068726,8
right arm,subject02,1.5198098355460734,7.325375556945801,0.7193586826324463,7
right arm,subject04,1.0619033294419447,3.785649061203003,0.820256769657135,5
right arm,subject12,0.3922059591859579,4.3207197189331055,0.002489520236849785,7
right arm,Matthew,0.26333951715831505,10.110384941101074,-0.3599521815776825,22
right arm,subject11,0.10166128698204245,1.4618679285049438,0.02748875506222248,7
right arm,subject08,-0.03943579484309469,1.5395021438598633,-0.2501279413700104,7
right arm,subject09,-0.08444636811812718,1.7875018119812012,-0.11353548243641853,6
right arm,subject05,-0.15540605954204997,1.9034475088119507,-0.18380636721849442,4
right arm,subject03,-0.3619420226928519,0.1906760185956955,-0.26775018125772476,6
right arm,subject06,-0.48360446852166206,0.5389752984046936,-0.5245882719755173,8
